,epoch_number,abort_rate
0,-1,0.0
1,0,0.0
2,1,0.0
3,2,0.0
4,3,0.0
5,4,0.0
6,5,0.0
7,6,0.0
8,9,0.0
9,10,0.0
10,13,0.0
11,14,0.0
12,17,0.0
13,18,0.0
14,21,0.0
15,22,0.0
16,25,0.0
17,26,0.0
18,29,0.0
19,30,0.0
20,33,0.0
21,34,0.0
22,37,0.0
23,38,0.0
24,41,0.0
25,42,0.0
26,45,0.0
27,46,0.0
28,49,0.0
29,50,0.0
30,53,0.0
31,54,0.0
32,57,0.0
33,58,0.0
34,61,0.0
35,62,0.0
36,65,0.0
37,66,0.0
38,69,0.0
39,70,0.0
40,73,0.0
41,74,0.0
42,77,0.0
43,78,0.0
44,81,0.0
45,82,0.0
46,85,0.0
47,86,0.0
48,89,0.0
49,90,0.0
50,93,0.0
51,94,0.0
52,97,0.0
53,98,0.0
54,101,0.0
55,102,0.0
56,105,0.0
57,106,0.0
58,108,0.0
59,109,0.0
60,111,0.0
61,112,0.0
62,115,0.0
63,116,0.0
64,117,0.0
65,118,0.0
66,120,0.0
67,121,0.0
68,122,0.0
69,123,0.0
70,124,0.0
71,125,0.0
72,126,0.0
73,127,0.0
74,128,0.0
75,129,0.0
76,130,0.0
77,131,0.0
78,134,0.095
79,135,0.2077922077922078
80,136,0.125
81,137,0.20689655172413793
82,138,0.11
83,139,0.10344827586206896
84,140,0.095
85,141,0.16883116883116883
86,142,0.155
87,143,0.05172413793103448
88,144,0.3333333333333333
89,145,0.13
90,146,0.1206896551724138
91,147,0.135
92,148,0.05172413793103448
93,149,0.3333333333333333
94,150,0.085
95,151,0.2
96,152,0.13
97,153,0.017241379310344827
98,154,0.0
99,155,0.12
100,156,0.034482758620689655
101,157,0.0
102,158,0.145
103,159,0.05172413793103448
104,161,0.14
105,162,0.06896551724137931
106,163,0.25
107,164,0.1
108,165,0.21794871794871795
109,166,0.135
110,167,0.08620689655172414
111,168,0.4
112,169,0.105
113,170,0.017241379310344827
114,172,0.205
115,173,0.08620689655172414
116,174,0.6
117,175,0.14
118,176,0.06896551724137931
119,177,0.75
120,178,0.115
121,179,0.08620689655172414
122,180,0.4
123,181,0.125
124,182,0.10344827586206896
125,183,0.12
126,184,0.06896551724137931
127,185,0.5
128,186,0.14
129,187,0.017241379310344827
130,188,0.0
131,189,0.135
132,190,0.10526315789473684
133,191,0.125
134,192,0.10344827586206896
135,193,0.145
136,194,0.10344827586206896
137,195,0.14
138,196,0.06896551724137931
139,197,0.5
140,198,0.16
141,199,0.10344827586206896
142,200,0.125
143,201,0.06896551724137931
144,202,0.5
145,203,0.12
146,204,0.034482758620689655
147,205,0.5
148,206,0.085
149,207,0.24
150,208,0.115
151,209,0.017241379310344827
152,210,0.0
153,211,0.155
154,212,0.15517241379310345
155,213,0.13
156,214,0.09
157,215,0.205
158,216,0.135
159,217,0.095
160,218,0.205
161,219,0.17
162,220,0.13934426229508196
