operation,min,mean,median,std,var,max
Read,14,92.03812868430954,90.0,33.77706775154384,1140.890305892383,191
Transfer,15,146.66946225949678,146.0,64.61957491440448,4175.689462118334,450
Combined,14,103.1119,97.0,47.31163259062194,2238.39057839,450
